Date;AvgTemp;MaxTemp;MinTemp;Precipitation;RelHumidity;CloudCover;SunshineDuration;AirPressure;Wind;VaporContent
Date;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real
1893-01-01;-10.6;-8.1;-13.3;0.0;81.0;60.0;2.1;993.4;3.2;2.3
1893-01-02;-12.8;-8.4;-15.9;0.1;99.0;52.0;0.6;997.9;2.8;2.3
1893-01-03;-11.9;-9.6;-17.8;3.7;87.0;72.0;0.0;1013.3;1.3;1.9
1893-01-04;-5.4;-4.5;-10.0;2.0;98.0;86.0;0.0;1016.8;0.4;3.7
1893-01-05;-6.0;-3.4;-7.9;0.0;97.0;86.0;0.0;1018.6;0.2;3.7
1893-01-06;-13.7;-7.6;-17.5;0.0;85.0;70.0;0.0;1018.4;1.3;1.8
1893-01-07;-15.0;-12.3;-17.6;0.0;82.0;20.0;6.2;1012.7;6.3;1.6
1893-01-08;-10.9;-6.6;-15.6;0.0;81.0;19.9;6.3;1006.9;6.5;2.1
1893-01-09;-5.2;-3.5;-12.5;0.7;86.0;79.9;0.0;998.4;3.1;3.4
1893-01-10;-4.3;-2.6;-7.7;0.1;90.0;85.9;0.0;997.7;11.9;3.8
1893-01-11;-11.1;-3.6;-15.0;0.0;86.0;31.9;4.5;1006.2;6.0;2.5
1893-01-12;-12.2;-10.2;-17.9;0.0;88.0;51.9;3.1;1008.8;4.8;2.0
1893-01-13;-7.7;-5.4;-11.6;7.1;95.0;83.9;0.0;996.9;8.2;3.0
1893-01-14;-10.5;-2.9;-15.3;0.8;91.9;59.8;0.0;990.5;9.5;2.8
1893-01-15;-14.1;-11.1;-19.0;0.3;89.9;71.8;0.4;1006.8;3.7;1.7
1893-01-16;-10.6;-6.9;-15.9;5.8;92.9;85.8;0.0;1001.6;7.2;2.4
1893-01-17;-16.9;-7.1;-21.3;0.1;86.9;45.7;3.6;1003.0;3.6;1.7
1893-01-18;-18.6;-14.4;-23.8;0.1;85.9;51.7;4.2;1014.6;2.8;1.3
1893-01-19;-17.8;-15.3;-25.1;0.0;84.9;15.7;6.9;1020.8;5.6;1.2
1893-01-20;-7.1;-2.9;-18.2;3.0;85.9;59.6;4.8;1008.0;7.7;2.9
1893-01-21;-3.3;-0.1;-5.1;0.5;84.9;51.6;0.2;995.6;14.3;4.0
1893-01-22;-6.5;-4.2;-8.5;0.0;87.9;77.6;0.0;999.5;10.8;3.3
1893-01-23;-9.6;-4.6;-14.0;0.0;85.8;27.5;5.9;999.2;1.0;2.5
1893-01-24;-2.6;2.1;-16.2;4.5;95.8;77.5;0.0;1000.0;4.9;4.4
1893-01-25;2.9;3.4;1.9;0.8;93.8;77.5;0.0;999.8;12.0;6.6
1893-01-26;0.3;3.2;-1.6;0.0;90.8;53.4;3.8;1004.6;4.8;5.6
1893-01-27;0.9;3.3;-5.5;0.0;81.8;69.4;3.4;1004.7;2.8;4.9
1893-01-28;-1.8;2.3;-4.2;0.0;82.8;31.3;5.6;1005.9;5.3;4.4
1893-01-29;-2.6;1.8;-7.6;0.0;80.8;7.3;6.2;1001.8;9.0;3.7
1893-01-30;2.0;3.7;-3.8;0.5;97.7;85.2;0.0;1000.2;8.5;6.4
1893-01-31;5.2;7.6;2.9;1.6;90.7;85.2;2.1;1003.7;10.6;7.3
1893-02-01;3.8;5.8;3.0;15.6;97.7;85.1;0.0;992.7;3.2;7.3
1893-02-02;2.5;3.8;1.5;1.1;100.0;85.1;0.0;996.1;4.0;6.9
1893-02-03;-1.9;2.0;-3.6;0.0;78.7;61.0;0.0;1012.0;6.2;4.0
1893-02-04;-7.3;-3.4;-8.8;0.0;70.6;22.9;7.6;1023.8;3.1;2.2
1893-02-05;-4.7;-0.9;-12.2;0.0;65.6;62.9;2.3;1018.9;5.5;2.2
1893-02-06;-2.1;0.0;-6.9;0.0;85.6;54.8;1.1;1014.6;3.4;4.1
1893-02-07;1.2;3.8;-6.3;1.9;76.6;62.8;2.8;1005.2;10.0;4.6
1893-02-08;4.4;5.5;2.9;4.2;82.6;82.7;0.0;992.0;15.7;6.4
1893-02-09;2.3;4.7;1.5;3.3;93.5;66.6;0.0;990.8;13.0;6.2
1893-02-10;3.3;6.1;1.5;4.5;93.5;74.6;1.1;973.8;7.9;6.6
1893-02-11;5.0;7.1;1.6;1.9;90.5;74.5;0.0;984.7;12.3;7.2
1893-02-12;3.1;6.3;1.8;2.2;85.5;76.4;0.0;987.9;9.1;6.1
1893-02-13;1.5;2.9;-0.9;5.0;93.5;78.4;1.8;995.1;8.2;5.7
1893-02-14;5.8;7.8;1.5;6.5;85.4;84.3;0.0;991.8;12.0;7.2
1893-02-15;8.2;11.0;5.3;0.0;86.4;68.2;0.0;1002.3;5.0;8.6
1893-02-16;8.7;14.3;3.1;0.0;72.4;50.1;5.5;1006.1;3.0;7.0
1893-02-17;5.7;11.7;1.0;6.7;83.4;54.1;3.5;1008.9;3.4;6.9
1893-02-18;4.7;6.9;2.4;4.4;91.3;82.0;4.4;1011.4;4.4;7.0
1893-02-19;8.5;9.7;4.6;13.0;99.3;83.9;0.0;999.9;8.9;9.8
1893-02-20;8.5;9.4;7.9;2.5;99.3;83.8;0.0;993.8;5.1;9.8
1893-02-21;7.0;10.5;3.9;0.9;80.3;73.8;5.8;982.3;5.4;7.0
1893-02-22;2.4;7.2;-0.2;10.3;99.2;83.7;0.0;973.6;7.9;6.9
1893-02-23;-4.4;0.2;-5.6;0.9;93.2;67.6;0.0;986.8;4.2;3.7
1893-02-24;-2.6;0.9;-8.6;0.0;92.2;73.5;0.3;988.5;4.1;4.1
1893-02-25;3.8;6.9;-1.7;0.5;90.1;69.4;1.0;981.4;6.9;6.2
1893-02-26;4.8;8.5;2.7;0.0;70.1;57.3;6.8;991.9;6.6;5.3
1893-02-27;8.2;12.1;3.7;0.0;66.1;61.2;5.3;994.6;10.4;6.5
1893-02-28;9.4;16.2;5.5;2.7;66.1;65.2;4.4;998.3;12.1;6.9
1893-03-01;6.2;8.7;1.8;2.7;74.0;75.1;5.9;1009.8;3.3;6.0
1893-03-02;8.9;12.0;6.0;2.1;87.0;81.0;1.1;998.2;8.5;8.9
1893-03-03;2.7;8.3;1.0;0.8;80.0;76.9;0.0;1006.9;14.4;5.3
1893-03-04;1.7;6.6;-3.1;0.1;65.9;40.8;7.9;1018.4;1.8;3.8
1893-03-05;7.3;9.8;1.4;1.9;80.9;82.7;0.0;1003.1;11.1;7.3
1893-03-06;4.8;8.1;4.1;0.6;85.9;82.6;0.0;1002.7;9.2;6.6
1893-03-07;5.8;8.1;0.5;3.8;90.8;82.5;0.0;1007.0;12.4;7.2
1893-03-08;6.4;9.9;3.4;0.7;72.8;58.4;2.5;999.6;21.1;6.4
1893-03-09;5.4;8.5;2.9;1.1;73.8;68.3;2.3;1007.4;4.4;5.7
1893-03-10;5.8;9.5;2.4;2.5;78.7;64.2;3.8;994.4;19.3;6.6
1893-03-11;4.0;7.0;1.7;0.0;62.7;58.1;5.3;1007.5;13.9;4.5
1893-03-12;10.1;15.8;3.3;0.0;53.7;34.0;6.4;1000.8;12.4;5.6
1893-03-13;12.9;20.3;6.5;0.2;45.7;20.0;8.9;993.1;9.7;6.1
1893-03-14;11.0;13.8;8.3;3.2;96.6;81.9;0.0;994.8;4.2;11.0
1893-03-15;12.0;15.2;10.3;0.1;72.6;59.8;0.1;995.8;8.6;8.9
1893-03-16;11.7;14.7;8.8;1.2;60.6;67.7;3.7;990.3;13.2;7.2
1893-03-17;3.5;11.9;1.5;3.7;77.5;73.6;3.0;986.8;10.0;5.4
1893-03-18;1.6;4.6;0.0;0.4;77.5;71.5;5.2;992.4;13.4;4.6
1893-03-19;1.9;5.5;0.4;0.7;64.5;43.4;5.9;1005.8;4.3;4.1
1893-03-20;2.4;4.5;-1.0;1.4;89.4;81.3;0.0;1008.0;1.4;5.7
1893-03-21;5.2;7.8;2.5;0.1;90.4;73.2;0.0;1009.9;5.9;7.2
1893-03-22;6.5;10.9;2.0;0.0;86.4;73.1;1.0;1011.2;2.7;7.3
1893-03-23;9.8;15.8;3.7;0.0;69.3;19.0;7.0;1008.8;3.8;6.9
1893-03-24;8.9;16.7;4.0;0.0;74.3;8.8;9.4;1010.6;2.6;7.2
1893-03-25;4.4;9.9;0.4;0.0;64.2;2.7;10.0;1016.2;5.7;4.5
1893-03-26;2.6;9.1;-1.3;0.0;64.2;26.6;7.7;1014.0;5.2;4.1
1893-03-27;5.0;11.9;-2.9;0.0;42.2;14.5;9.9;1013.6;2.6;2.6
1893-03-28;7.0;14.8;-0.4;0.0;44.1;16.4;10.3;1008.8;3.7;3.4
1893-03-29;9.3;16.1;1.8;0.0;52.1;2.3;10.0;1002.0;6.3;5.3
1893-03-30;4.6;9.9;2.4;0.0;93.1;72.2;2.4;1000.5;3.2;6.9
1893-03-31;9.5;17.6;1.8;0.0;59.0;48.1;2.4;998.9;3.5;5.7
1893-04-01;11.6;19.4;4.3;0.0;50.0;30.0;9.4;1004.0;6.1;5.4
1893-04-02;14.1;22.4;4.3;0.0;44.0;17.9;9.4;1006.8;6.2;5.7
1893-04-03;12.2;19.7;5.7;0.0;57.9;7.8;10.5;1008.6;2.4;7.0
1893-04-04;9.3;12.0;3.8;0.0;80.9;53.7;0.0;1009.5;4.7;8.4
1893-04-05;8.5;14.2;2.7;0.0;81.9;39.6;7.7;1011.2;4.4;8.0
1893-04-06;10.8;19.0;3.4;0.0;59.8;9.5;11.1;1014.4;2.8;6.5
1893-04-07;13.6;20.2;6.7;0.0;53.8;7.4;11.5;1016.4;3.7;6.8
1893-04-08;11.8;19.9;4.4;0.0;64.8;15.3;9.9;1017.8;3.9;7.3
1893-04-09;11.1;17.5;4.1;0.0;50.7;23.2;10.0;1018.8;1.7;5.3
1893-04-10;13.9;20.0;6.2;0.0;43.7;5.1;11.8;1013.3;0.0;5.8
1893-04-11;8.5;15.4;6.0;0.0;53.7;1.0;11.1;1008.9;3.8;5.4
1893-04-12;6.7;12.2;-0.4;0.0;40.6;12.9;11.8;1009.5;1.8;3.3
1893-04-13;5.2;10.7;2.9;0.0;45.6;40.8;7.2;1007.1;8.4;3.7
1893-04-14;6.2;11.1;-1.7;0.0;58.6;64.7;8.6;1013.4;7.7;4.8
1893-04-15;10.8;16.3;5.2;0.0;56.5;38.6;2.9;1009.6;8.0;6.4
1893-04-16;7.6;13.6;6.1;0.7;77.5;72.5;1.1;1006.9;11.3;7.4
1893-04-17;5.2;9.6;3.1;0.0;42.5;38.4;9.5;1013.5;10.5;3.4
1893-04-18;6.5;12.8;-0.7;0.0;30.4;8.3;11.9;1017.1;2.0;2.5
1893-04-19;12.2;19.4;-0.2;0.0;32.4;40.2;9.6;1010.8;4.0;3.6
1893-04-20;14.4;19.9;9.8;0.0;37.4;48.1;4.6;1009.0;3.0;5.4
1893-04-21;15.2;21.8;7.8;0.0;46.3;16.0;10.3;1007.6;6.2;6.9
1893-04-22;11.6;18.6;5.3;0.0;46.3;15.9;13.6;1014.3;4.9;5.3
1893-04-23;10.1;17.7;4.8;0.0;42.3;3.8;13.1;1015.8;6.9;4.4
1893-04-24;13.4;20.7;3.2;0.0;37.2;27.7;12.9;1010.7;4.4;4.8
1893-04-25;11.0;17.2;6.5;0.0;54.2;5.6;11.2;1008.5;4.7;6.4
1893-04-26;15.9;24.2;4.6;0.0;43.2;15.5;13.1;1002.9;6.6;6.6
1893-04-27;8.1;16.3;7.0;0.0;85.1;53.4;2.4;1000.9;4.5;8.4
1893-04-28;8.2;11.3;5.6;0.0;72.1;69.3;1.6;1001.9;5.2;7.0
1893-04-29;9.4;14.2;6.2;0.0;61.1;47.2;6.1;1002.6;0.8;6.2
1893-04-30;10.7;17.3;5.1;0.3;52.1;35.2;8.4;997.8;4.8;5.8
1893-05-01;8.9;14.1;6.1;0.7;64.0;47.1;8.3;1002.8;8.2;6.9
1893-05-02;7.6;11.1;4.2;3.0;85.0;61.0;0.7;1006.3;0.8;8.2
1893-05-03;10.3;14.3;6.0;4.1;84.0;74.9;0.2;1006.3;0.5;9.4
1893-05-04;8.7;13.1;5.6;3.7;73.9;58.8;5.1;1012.4;5.5;7.3
1893-05-05;7.8;12.5;4.1;0.1;59.9;60.7;9.7;1016.6;3.7;5.6
1893-05-06;6.8;10.9;3.1;1.0;57.9;62.6;7.3;1012.4;7.8;5.2
1893-05-07;8.2;12.0;4.0;2.0;79.8;66.5;2.3;1007.0;10.9;7.7
1893-05-08;16.2;20.7;8.5;0.0;50.8;34.5;11.7;1009.1;12.3;8.5
1893-05-09;15.2;21.8;8.7;0.0;40.8;0.0;13.9;1011.3;6.1;6.5
1893-05-10;15.3;22.8;7.8;0.0;38.8;6.3;14.3;1008.4;7.2;6.1
1893-05-11;12.5;19.9;6.4;0.0;53.7;12.2;14.6;1006.5;7.1;7.2
1893-05-12;14.2;20.8;4.7;0.0;52.7;28.1;10.7;1004.3;3.4;7.7
1893-05-13;16.9;22.4;9.9;0.0;48.7;58.0;7.2;1004.0;3.2;8.4
1893-05-14;17.3;23.2;9.4;0.0;42.7;10.0;14.3;1006.8;1.6;7.2
1893-05-15;18.8;26.3;10.8;0.0;47.6;19.9;11.8;997.5;4.3;9.5
1893-05-16;18.8;26.3;9.5;0.0;35.6;9.8;13.7;996.8;4.5;6.8
1893-05-17;19.3;25.3;13.3;0.0;60.6;53.7;7.2;991.8;1.7;12.4
1893-05-18;18.9;25.0;13.9;0.0;72.6;51.7;5.3;992.1;0.8;14.7
1893-05-19;17.8;22.9;12.4;0.0;76.5;69.6;1.1;995.2;1.3;14.3
1893-05-20;14.3;19.0;12.1;0.0;78.5;67.5;1.0;996.0;2.6;12.3
1893-05-21;13.5;19.6;10.9;0.0;72.5;35.5;8.4;998.1;1.9;10.5
1893-05-22;19.5;26.6;7.7;0.0;61.5;11.4;13.5;998.7;1.7;12.3
1893-05-23;23.7;31.8;14.1;0.0;45.4;9.3;14.5;998.0;4.5;11.3
1893-05-24;20.4;29.5;15.6;0.0;59.4;59.3;7.9;993.0;5.9;13.6
1893-05-25;15.1;20.7;11.7;0.3;64.4;49.2;9.9;1000.6;4.7;10.4
1893-05-26;13.0;17.2;11.7;0.1;74.4;65.1;3.2;1000.9;6.6;10.7
1893-05-27;12.0;14.8;8.9;0.6;76.4;69.1;1.2;1001.6;5.3;9.9
1893-05-28;11.1;17.3;9.9;0.0;82.3;57.0;4.5;1003.2;5.5;10.5
1893-05-29;12.7;17.6;6.2;0.1;79.3;73.0;5.0;1000.7;6.2;10.8
1893-05-30;11.1;14.7;7.6;0.0;49.3;66.9;4.1;1000.3;6.1;6.4
1893-05-31;11.2;16.5;6.6;0.0;47.3;32.9;10.4;999.1;3.5;6.1
1893-06-01;10.5;16.5;5.9;0.0;64.3;32.8;8.0;1001.5;4.5;8.0
1893-06-02;14.0;18.6;6.5;0.0;52.3;36.8;8.1;1002.9;0.7;7.7
1893-06-03;16.1;22.8;9.2;0.0;43.2;36.7;9.4;1003.0;1.8;7.6
1893-06-04;17.3;24.3;9.9;0.0;44.2;32.7;13.1;1008.5;1.4;8.4
1893-06-05;15.5;21.0;8.4;0.0;58.2;50.6;7.8;1010.7;0.5;9.9
1893-06-06;17.9;22.6;11.8;0.0;44.2;28.6;12.8;1012.6;4.0;8.5
1893-06-07;17.3;24.3;7.7;0.0;35.2;2.5;15.7;1014.5;3.8;6.4
1893-06-08;18.3;24.8;5.3;0.0;40.2;20.5;14.1;1013.2;0.1;7.7
1893-06-09;17.7;23.2;10.5;0.0;43.1;10.4;14.3;1011.5;0.8;8.4
1893-06-10;12.3;22.7;10.4;7.7;82.1;58.4;5.4;1009.9;2.2;11.7
1893-06-11;12.2;13.5;10.0;2.7;87.1;72.4;0.5;1008.1;5.5;12.0
1893-06-12;14.2;18.6;10.7;5.3;84.1;50.3;3.7;1008.0;1.2;13.5
1893-06-13;16.7;22.4;9.8;0.0;68.1;32.3;9.8;1008.2;1.6;12.3
1893-06-14;19.7;25.9;11.6;0.0;51.1;16.3;13.9;1006.1;1.4;11.6
1893-06-15;20.6;26.9;12.3;0.0;43.1;12.2;15.2;1007.0;5.3;10.1
1893-06-16;19.0;26.7;10.6;0.0;49.1;4.2;15.7;1009.9;4.9;10.0
1893-06-17;21.9;28.1;13.0;0.0;48.1;8.2;14.2;1014.3;3.7;11.9
1893-06-18;21.8;26.9;12.8;0.0;48.1;0.2;15.5;1010.2;8.6;12.1
1893-06-19;22.6;28.7;14.2;1.2;50.0;2.1;16.0;1002.6;6.0;12.9
1893-06-20;16.4;23.2;14.9;0.0;56.0;60.1;8.9;993.6;10.1;10.3
1893-06-21;14.1;17.2;7.5;0.0;58.0;64.1;3.1;997.0;5.3;9.2
1893-06-22;15.1;19.6;10.5;0.0;51.0;42.1;7.3;996.0;2.4;8.8
1893-06-23;17.9;23.6;10.0;3.0;60.0;72.1;3.1;987.5;3.4;12.4
1893-06-24;17.1;21.3;14.5;0.3;63.0;24.0;8.4;987.0;3.0;12.8
1893-06-25;14.0;18.6;10.7;2.4;72.0;36.0;10.4;995.2;3.4;11.6
1893-06-26;12.4;19.7;10.7;6.2;84.0;60.0;8.2;1000.6;1.3;12.5
